method,f1_mean,f1_std,auc_mean,auc_std,acc_mean,acc_std,precision_mean,precision_std,recall_mean,recall_std
LogReg,0.9946661167396953,0.001107340572223503,0.9979756381547271,0.0008047954441883776,0.9945833333333334,0.0012500000000000289,0.9983844911147011,0.0016155088852988775,0.9909758364814545,0.0006066551010371346
RandomForest,0.9967005048526787,7.888323105714745e-05,0.9987982416917158,0.001190646085950764,0.9966666666666667,0.0,1.0,0.0,0.9934227237598025,0.00015673049380915405
Triplet + probe,0.9950745270561558,0.0007060636611437854,0.998218858987949,0.0008421582248833714,0.995,0.0008333333333333526,0.9975410730855303,0.0007668795371431614,0.9926201555415038,0.0006458377244894509
SSL + probe,0.9858930742432137,0.003614593230555463,0.9963692247991406,0.00021654488893929624,0.9858333333333333,0.0033333333333332993,0.9899507218669654,0.005179148262904609,0.9818733077160043,0.002075327918024561
