method,f1_mean,f1_std,auc_mean,auc_std,acc_mean,acc_std,precision_mean,precision_std,recall_mean,recall_std
LogReg,0.8968610761453775,0.005294811085136575,0.9476400539978856,0.0008564867522722341,0.8983333333333333,0.0033333333333332993,0.9225382311018772,0.01056640011596166,0.8726240467813502,0.0005701747274781122
RandomForest,0.8979908255601567,0.0073925349618661484,0.9542365726496578,0.0013968442323716856,0.8983333333333333,0.0050000000000000044,0.9124559494195688,0.007942060530679973,0.8839775497078868,0.006873172603509725
Triplet + probe,0.8945006844155399,0.006562275519047145,0.9450281410167196,0.0006503699062754831,0.895,0.004166666666666652,0.9104710144927537,0.007862318840579696,0.8790837751511908,0.005346401413817148
SSL + probe,0.8578296580968234,0.011805969433540897,0.9148922160071643,0.011118505302760484,0.8570833333333334,0.00874999999999998,0.8638955582232892,0.01355542216886757,0.8518545541017452,0.010103712350903349
