method,f1_mean,f1_std,auc_mean,auc_std,acc_mean,acc_std,precision_mean,precision_std,recall_mean,recall_std
LogReg,0.9704643222678442,0.005900795906564949,0.9932966787508949,0.0012249956387663241,0.9708333333333333,0.0050000000000000044,0.9914204298166163,0.0003014244880195083,0.9504353324578043,0.011041393063864924
RandomForest,0.9768818423949117,0.004373251329619632,0.9953451818954002,0.0006877547315957133,0.9770833333333333,0.0037499999999999756,0.9948355989311026,0.0018531427907517162,0.9595770438467068,0.006715090984753924
Triplet + probe,0.9751313576376676,0.0014248266792281639,0.9932089299705644,0.001487761920846875,0.975,0.0008333333333333526,0.9824549681227206,0.0012583869261393876,0.9679161870173106,0.0015862206873442641
SSL + probe,0.7334003116458824,0.019970029353324592,0.8184038305204113,0.016957019172609777,0.7308333333333333,0.010000000000000009,0.73486574894371,0.00964835763936217,0.7322300047019148,0.030209802681712805
