method,f1_mean,f1_std,auc_mean,auc_std,acc_mean,acc_std,precision_mean,precision_std,recall_mean,recall_std
LogReg,0.8671183634375288,0.0023003391740971657,0.9554996235833491,0.0017681393238117573,0.8704166666666666,0.0004166666666666763,0.9029825227963526,0.01191109422492398,0.8341588706757246,0.0059084693916154896
RandomForest,0.8858196654623471,0.003257387882275975,0.9636408925866123,0.0009849047656080856,0.8904166666666666,0.0004166666666666763,0.9383546358287685,0.002505579224994947,0.838856732115159,0.003839897098324052
Triplet + probe,0.8688000323305257,0.0018677614141910936,0.9444687027637358,0.004378959780296343,0.8666666666666667,0.005833333333333357,0.867561410672455,0.006801917001568847,0.8700987942560976,0.0030954272527306537
SSL + probe,0.8304616372251594,0.009246923794877071,0.9080385080930615,0.0026692293473491446,0.8395833333333333,0.01375000000000004,0.8969017094017093,0.017780830280830273,0.7732798828304446,0.0028143932638314273
